Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
-0.6705,Sun Jul 29 02:36:30 +0000 2018,0.667,0.333,0,Officers killed in the line of duty in 2018 https://t.co/NpTaRDRbVM,52,@FoxNews
0,Sun Jul 29 02:26:04 +0000 2018,1,0,0,"Mueller, Trump Jr. photographed waiting in same DC airport terminal https://t.co/m4lL2RuG9Y",53,@FoxNews
-0.5994,Sun Jul 29 02:17:35 +0000 2018,0.782,0.218,0,"OPINION: @AndyPuzder: China started the trade war, Trump is just trying to end it https://t.co/20kdeqXQkR",54,@FoxNews
0.6486,Sun Jul 29 02:09:33 +0000 2018,0.654,0,0.346,Obama administration approved $200G grant to group with Al Qaeda ties https://t.co/BTXVxibbBT,55,@FoxNews
-0.3182,Sun Jul 29 01:57:45 +0000 2018,0.839,0.161,0,"Lawmakers struggle to decode Trump's 'secret' to deal with Russia, North Korea https://t.co/B16umXIepR",56,@FoxNews
-0.2263,Sun Jul 29 01:43:03 +0000 2018,0.905,0.095,0,".@hogangidley45 on @POTUS' speech to steelworkers: ""I watched the tears stream down the faces of grown men...who toâ€_ https://t.co/YhtjzvJox0",57,@FoxNews
0.624,Sun Jul 29 01:35:00 +0000 2018,0.843,0,0.157,"â€œMy wife and I are deeply moved and deeply honored to be able to be there when we bring our boys home.â€ùSUNDAY:â€_ https://t.co/hi08AwXlUT",58,@FoxNews
-0.34,Sun Jul 29 01:28:13 +0000 2018,0.789,0.211,0,Giuliani says experts think 'someone messed' with Cohen tape https://t.co/kqYzzUV1g8,59,@FoxNews
-0.4019,Sun Jul 29 01:13:19 +0000 2018,0.803,0.197,0,"Florida police officer dies after being injured in shooting, police say https://t.co/IrqEDu5OVm",60,@FoxNews
-0.6858,Sun Jul 29 00:59:59 +0000 2018,0.575,0.425,0,"Superintendent accused of public defecation resigns, but continues to fight allegations https://t.co/8mkugNyBzk",61,@FoxNews
-0.7698,Sun Jul 29 00:54:00 +0000 2018,0.661,0.339,0,Veterans Advocate on Return of Korean War Remains: 'I Couldn't Be More Proud' https://t.co/3mPxwhjyo2 https://t.co/P7jSEALYuH,62,@FoxNews
0.4019,Sun Jul 29 00:49:25 +0000 2018,0.803,0,0.197,Homeless man applying for McDonald's job lands position with cop's help https://t.co/G1TlVduRhZ,63,@FoxNews
0.7184,Sun Jul 29 00:40:33 +0000 2018,0.6,0,0.4,Strong economic numbers give Republicans a much-needed boost ahead of midterms https://t.co/w8wdMMjUNp,64,@FoxNews
0,Sun Jul 29 00:37:18 +0000 2018,1,0,0,"Two Massachusetts police officers shot while investigating 'disturbance,' authorities say https://t.co/XNJ7Gr2UKa",65,@FoxNews
0.6666,Sun Jul 29 00:32:12 +0000 2018,0.757,0,0.243,"Thomas Homan: ""There's been nobody that has done more for border security and public safety than President Trump.""â€_ https://t.co/sfHazO8kMr",66,@FoxNews
0,Sun Jul 29 00:27:23 +0000 2018,1,0,0,Boy with deformed legs undergoes life-changing surgery at Tebow CURE Hospital https://t.co/uVBbJFPemZ,67,@FoxNews
0.1139,Sun Jul 29 00:24:00 +0000 2018,0.907,0,0.093,"SUNDAY: Don't miss Rudy Giuliani, President @realDonaldTrump's attorney, on @FoxNewsSunday. Check your local listinâ€_ https://t.co/kJoiJFypkQ",68,@FoxNews
-0.4522,Sun Jul 29 00:21:30 +0000 2018,0.844,0.156,0,".@charliekirk11: ""If socialist professors really believe the nonsense that they, you know, profess, why don't theyâ€_ https://t.co/BLLAQCiQJ2",69,@FoxNews
0.9158,Sun Jul 29 00:12:15 +0000 2018,0.539,0,0.461,PARACHUTE PARTY: A Seattle daredevil celebrated his 100th birthday the best way he knew how â€” by jumping from a plaâ€_ https://t.co/UBM41bZBgq,70,@FoxNews
-0.2263,Sat Jul 28 23:55:55 +0000 2018,0.808,0.192,0,Colorado bear reportedly tears apart man's truck interior https://t.co/aAboHLMZvy,71,@FoxNews
0.6705,Sat Jul 28 23:47:03 +0000 2018,0.766,0,0.234,".@Jim_Jordan: ""When we formed [the House Freedom Caucus] three years ago, we talk about the countless number of Ameâ€_ https://t.co/rtigcsar2S",72,@FoxNews
-0.4404,Sat Jul 28 23:33:45 +0000 2018,0.873,0.127,0,"RT @FoxNewsResearch: ""States"" of Unemployment â†’ June 2018â€”Unemployment Rateâ€”â€¢High: AK (7.1%), WV (5.3%), NM (4.9%)â€¢Low: HI (2.1%), ND (â€_",73,@FoxNews
0.2023,Sat Jul 28 23:33:05 +0000 2018,0.904,0,0.096,"RT @FoxNewsResearch: Top 15 Economies- population since 2000_Ÿ‡º_Ÿ‡¸+13.8%_Ÿ‡¨_Ÿ‡_+7.1%_Ÿ‡¯_Ÿ‡µ-0.8%_Ÿ‡©_Ÿ‡ª-1.2%_Ÿ‡¬_Ÿ‡§+9.2%_Ÿ‡®_Ÿ‡_+23.1%_Ÿ‡«_Ÿ‡·+9%_Ÿ‡§_Ÿ‡·+15.9%_Ÿ‡®_Ÿ‡_+6.5%_Ÿ‡¨_Ÿ‡_+â€_",74,@FoxNews
0,Sat Jul 28 23:27:54 +0000 2018,1,0,0,Two major wildfires in California have prompted evacuations; @Jeff_Journalist reports. #FoxReportâ€_ https://t.co/JLZWKA6ArG,75,@FoxNews
0,Sat Jul 28 23:16:12 +0000 2018,1,0,0,".@michaelscherer on GDP report: ""Republican candidates who are facing really daunting odds in a lot of these Houseâ€_ https://t.co/utAUYYn4J6",76,@FoxNews
-0.1779,Sat Jul 28 23:10:20 +0000 2018,0.892,0.108,0,President @realDonaldTrump is touting the 4.1 percent GDP report amid several controversies; @ellisonbarber reportsâ€_ https://t.co/1CpKika37w,77,@FoxNews
0.3182,Sat Jul 28 23:05:00 +0000 2018,0.798,0,0.202,SUNDAY: Treasury Secretary @stevenmnuchin1 sits down with Chris Wallace for an exclusive interview onâ€_ https://t.co/yHgOP6agXx,78,@FoxNews
0.25,Sat Jul 28 23:00:33 +0000 2018,0.812,0,0.188,'Homecoming' star Julia Roberts opens up about 'mental challenge' of filming new Amazon series https://t.co/h5PyJS9iI3,79,@FoxNews
0.7184,Sat Jul 28 22:50:00 +0000 2018,0.739,0,0.261,The Supreme Court nomination of Brett Kavanaugh is expected to play a major role in the Indiana Senate race;â€_ https://t.co/gK8TKagngp,80,@FoxNews
-0.3612,Sat Jul 28 22:36:19 +0000 2018,0.894,0.106,0,"Colorado man spits on officer, strikes him with car after ticket for leaving dogs in hot car as he ate: report https://t.co/454AuUN7oZ",81,@FoxNews
0,Sat Jul 28 22:21:07 +0000 2018,1,0,0,Name given to North Carolina's baby white rhino https://t.co/AkBJHp2Ptq,82,@FoxNews
0.2263,Sat Jul 28 22:15:12 +0000 2018,0.853,0,0.147,"Marijuana worth roughly $12M seized from chicken farm, Georgia authorities say https://t.co/5HwHsKYq8W",83,@FoxNews
-0.6249,Sat Jul 28 22:07:00 +0000 2018,0.611,0.389,0,Baltimore man charged with sexually assaulting seatmate on airplane https://t.co/ifyANP93cI,84,@FoxNews
-0.8555,Sat Jul 28 22:00:16 +0000 2018,0.598,0.402,0,Autistic woman was allegedly caged and forced to eat her dead mother's ashes; 5 face federal charges https://t.co/ZbRDd5Amli,85,@FoxNews
0,Sat Jul 28 21:56:00 +0000 2018,1,0,0,SUNDAY: Go inside the home of @Jeopardy TV Legend Alex Trebek with @HarveyLevinTMZ - 8p ET on Fox News Channel! https://t.co/j7WjOXyusr,86,@FoxNews
0,Sat Jul 28 21:53:49 +0000 2018,1,0,0,"Lt. Col. James Reese on NK releasing possible remains of Americans:  ""One of the things we as a nation have to do iâ€_ https://t.co/HjmujiYEyz",87,@FoxNews
0,Sat Jul 28 21:47:25 +0000 2018,1,0,0,.@VP will travel to Hawaii for a repatriation ceremony next week; @BryanLlenas reports. https://t.co/KbE1fZNDFL https://t.co/RiCL0kdDiH,88,@FoxNews
0.2732,Sat Jul 28 21:42:00 +0000 2018,0.909,0,0.091,OPINION: Americans still believe in God. So why do so many of us see church as just optional rental car insurance? https://t.co/xRrFrKzaKW,89,@FoxNews
0,Sat Jul 28 21:41:12 +0000 2018,1,0,0,".@Garrett_FoxNews: ""The key here is that DHS said it's reunified every eligible parent with their children. 711 kidâ€_ https://t.co/8CBwMHozva",90,@FoxNews
0.765,Sat Jul 28 21:35:00 +0000 2018,0.732,0,0.268,"â€œWe remain confident that before the fall is out that Judge Brett Kavanaugh will be Justice Brett Kavanaugh.â€ùSUNDâ€_ https://t.co/dKgikRo6or",91,@FoxNews
0,Sat Jul 28 21:33:02 +0000 2018,1,0,0,Two major wildfires in California have prompted evacuations; @Jeff_Journalist reports. https://t.co/dIs4EhLcqO https://t.co/LZSS37gKnw,92,@FoxNews
0.3818,Sat Jul 28 21:27:43 +0000 2018,0.748,0.065,0.187,".@MrJoshuaRogers: You're going through something hard -- you may be surprised to learn where God is right nowhttps://t.co/KNnKEdmHhy",93,@FoxNews
0,Sat Jul 28 21:26:59 +0000 2018,1,0,0,An American flag is displayed during a mass reenlistment held by the 1st Battalion Army Reserve Counselor Divisionâ€_ https://t.co/LMV6vSPQnW,94,@FoxNews
0.4215,Sat Jul 28 21:20:26 +0000 2018,0.843,0,0.157,".@GillianHTurner: ""Michael Cohen, President Trump's longtime lawyer, is now claiming his boss approved the infamousâ€_ https://t.co/gW9zVu52Lo",95,@FoxNews
-0.4404,Sat Jul 28 21:20:26 +0000 2018,0.597,0.274,0.129,.@kayleighmcenany: Democrats' love of socialism is a losing strategy â€“ but they foolishly follow it anywayâ€_ https://t.co/JqK838XYAF,96,@FoxNews
-0.7184,Sat Jul 28 21:17:32 +0000 2018,0.6,0.4,0,"Carr Fire in California destroys more than 80,000 acres: officials https://t.co/wzPffaEH55",97,@FoxNews
-0.296,Sat Jul 28 21:15:00 +0000 2018,0.901,0.099,0,Betty White reveals she has no plans to retire at age 96: 'I'm going to be in the saddle forever' https://t.co/jsCOyIRGOs,98,@FoxNews
0.0772,Sat Jul 28 21:10:17 +0000 2018,0.939,0,0.061,".@esaagar: ""The GDP number is something that the president and this White House are gonna be riding on probably forâ€_ https://t.co/e6y6gFnAz8",99,@FoxNews
0.2023,Sat Jul 28 21:02:02 +0000 2018,0.927,0,0.073,"RT @NYTScience: The lunar eclipse on Friday captivated people around the world, but in ancient times a moon tinged deep red was the last thâ€_",0,@NYTimes
-0.0258,Sat Jul 28 20:52:05 +0000 2018,0.788,0.108,0.103,"Pope Francis accepted the resignation of Cardinal Theodore McCarrick, a former U.S. archbishop who is at the centerâ€_ https://t.co/5Cg1xpsoII",1,@NYTimes
0.6115,Sat Jul 28 20:42:04 +0000 2018,0.8,0,0.2,"""Until I was 35, the most significant relationship Iâ€™d had as an adult was with an iguana.It wasnâ€™t easy to meetâ€_ https://t.co/e41fsOnk9y",2,@NYTimes
0.4215,Sat Jul 28 20:32:05 +0000 2018,0.887,0,0.113,RT @nytimesworld: â€œThere has been an abdicationâ€ù of leadership by the United States in Latin America. And China has stepped in with a far-râ€_,3,@NYTimes
-0.4019,Sat Jul 28 20:22:06 +0000 2018,0.856,0.144,0,"In @nytopinion,Op-Ed columnist @FrankBruni writes: ""There are problems with impeaching Donald Trump. A big one isâ€_ https://t.co/wshwJu50dV",4,@NYTimes
0,Sat Jul 28 20:13:33 +0000 2018,1,0,0,"RT @migold: This is a story about 2 transgender people who joined OkCupid and expected nothing. Now they're married. https://t.co/TUG3K1sâ€_",5,@NYTimes
0.3612,Sat Jul 28 20:12:01 +0000 2018,0.878,0,0.122,"He pulled off what looked like an unprecedented move on a surfboard. Soon after, the royalty of surfing, skateboardâ€_ https://t.co/RaYcXeUCD5",6,@NYTimes
0,Sat Jul 28 20:02:06 +0000 2018,1,0,0,"With Goop, Gwyneth Paltrow just wanted you to have what she had: the $795 G. Label trench coat and the $1,505 Betonâ€_ https://t.co/LEQAv7UtO4",7,@NYTimes
-0.7845,Sat Jul 28 19:52:03 +0000 2018,0.723,0.277,0,A woman and 5 of her children were killed in a fire at a motel in Michigan. Her husband and 1-year-old daughter surâ€_ https://t.co/l8L9dGGOMI,8,@NYTimes
0,Sat Jul 28 19:42:05 +0000 2018,1,0,0,"American diplomats held face-to-face talks with Taliban representatives last week, Taliban officials said. It wouldâ€_ https://t.co/aYaoBJ1ycL",9,@NYTimes
0,Sat Jul 28 19:32:03 +0000 2018,1,0,0,The race to be Georgia's next governor has come to mirror the disorienting polarization of the Trump era https://t.co/dbqdarRXNc,10,@NYTimes
-0.802,Sat Jul 28 19:28:29 +0000 2018,0.69,0.31,0,"Carrie Fisher, who died in 2016, will appear in ""Star Wars: Episode IX"" using previously recorded footage https://t.co/3UOEvHOUDC",11,@NYTimes
-0.6705,Sat Jul 28 19:12:05 +0000 2018,0.816,0.184,0,"RT @MichaelPaulson: For more than two decades, Jeff Loeffelholz was an understudy at ""Chicago."" Then he killed himself. Now the productionâ€_",12,@NYTimes
-0.1926,Sat Jul 28 19:02:03 +0000 2018,0.915,0.085,0,Would you pay $1 billion for this view? And the 157 acres of land that come with it? https://t.co/s4JTHWNmoG https://t.co/q5CzUU0xDS,13,@NYTimes
0.4588,Sat Jul 28 18:52:05 +0000 2018,0.697,0.09,0.213,Ivanka Trump and Jared Kushner outlasted their critics and secured their White House roles. Now they're ready to stâ€_ https://t.co/NTaohB0NFE,14,@NYTimes
0,Sat Jul 28 18:42:07 +0000 2018,1,0,0,"Beautycon (described as Sephora meets Coachella) is not unlike a theme park, with hourslong lines, expensive food aâ€_ https://t.co/hg9hYKTcY6",15,@NYTimes
-0.5106,Sat Jul 28 18:34:00 +0000 2018,0.815,0.185,0,"A dam collapsed in Laos and led to the deaths of dozens, with many still missing. Our correspondent traveled to Laoâ€_ https://t.co/AwDE6R5sw0",16,@NYTimes
-0.8126,Sat Jul 28 18:27:56 +0000 2018,0.519,0.481,0,"Extremists attacked a school for midwives in Afghanistan, killing 2 people https://t.co/3U7wTNVCkZ",17,@NYTimes
0,Sat Jul 28 18:12:01 +0000 2018,1,0,0,"He was Dow Chemical's ""dioxin lawyer."" Now he's President Trump's pick to run the EPA's Superfund toxic cleanup proâ€_ https://t.co/LPDNIlr9gc",18,@NYTimes
-0.5106,Sat Jul 28 18:02:05 +0000 2018,0.852,0.148,0,A Turkish educator in Mongolia was briefly abducted on Friday. It appeared to be the latest episode of a global camâ€_ https://t.co/ckI8SUEEd2,19,@NYTimes
0,Sat Jul 28 17:52:05 +0000 2018,1,0,0,"Meet the Caramel Curves, New Orleansâ€™s all-female motorcycle club. With stilettos and magenta-hued burnouts, they'râ€_ https://t.co/KzI9CWIkoC",20,@NYTimes
0,Sat Jul 28 17:42:05 +0000 2018,1,0,0,New Hampshire is 94% white. It is now trying to figure out how to change that. https://t.co/aVB7YkkKFD,21,@NYTimes
-0.5267,Sat Jul 28 17:32:02 +0000 2018,0.82,0.18,0,"A woman in Spain went into hiding to avoid handing her children over to a man convicted of hitting her. Now, she isâ€_ https://t.co/I7pMY30145",22,@NYTimes
0,Sat Jul 28 17:27:00 +0000 2018,1,0,0,"Since 2012, according to officials, there has not been a month in California without a wildfire burning â€” a stark câ€_ https://t.co/w7eUsu2M8N",23,@NYTimes
0,Sat Jul 28 17:22:05 +0000 2018,1,0,0,More women deserve statues in New York. Here are 10. https://t.co/eIwy7Cwv2G https://t.co/78hIIw7YG8,24,@NYTimes
0,Sat Jul 28 17:12:05 +0000 2018,1,0,0,The Trump administration is pushing Afghan commanders to surrender rural and sparsely populated areas of the countrâ€_ https://t.co/RgFLE94P6o,25,@NYTimes
-0.5994,Sat Jul 28 17:02:06 +0000 2018,0.538,0.283,0.179,"â€œIt wasnâ€™t â€˜Iâ€™m racist and I want to glorify slavery,â€™â€ù one Civil War re-enactor said. â€œNobody really thought a lotâ€_ https://t.co/hdIgCrX5kC",26,@NYTimes
-0.4767,Sat Jul 28 16:52:03 +0000 2018,0.838,0.162,0,"They disappointed people who thought they'd be a moderating influence.They faced news stories about their unpopulaâ€_ https://t.co/X2QzqXzL38",27,@NYTimes
0.1901,Sat Jul 28 16:48:39 +0000 2018,0.935,0,0.065,"RT @maggieNYT: â€œBoth husband and wife, like Mr. Trump, are said to hang on to grudges, but Mr. Kushner is far more transactional than his wâ€_",28,@NYTimes
0,Sat Jul 28 16:42:04 +0000 2018,1,0,0,RT @nytimesworld: A space station built by the Chinese military in Argentina raises concerns that the base could enhance Chinaâ€™s intelligenâ€_,29,@NYTimes
0.0516,Sat Jul 28 16:32:04 +0000 2018,0.76,0.116,0.124,"RT @nathanielpopper: Sex scandal toppled a Silicon Valley chief. Investors say, so what? The story of Mike Cagney and his loyal investors.â€_",30,@NYTimes
0,Sat Jul 28 16:12:07 +0000 2018,1,0,0,"Kenya Barris, the creator of ""black-ish,"" is parting ways with ABC Studios 3 years before his contract was set to eâ€_ https://t.co/rw410pxNGJ",31,@NYTimes
0,Sat Jul 28 16:02:02 +0000 2018,1,0,0,He ate a meat pie with a knife and fork. Some Australians were scandalized. https://t.co/UlOFTh8WaY,32,@NYTimes
0.3612,Sat Jul 28 15:52:07 +0000 2018,0.857,0,0.143,"Kristina Jackson, a 22-year-old African-American truck driver: â€œPeople say to me, â€˜You donâ€™t look like a trucker.â€™â€_ https://t.co/LBGRDFI2PJ",33,@NYTimes
-0.1027,Sat Jul 28 15:42:04 +0000 2018,0.924,0.076,0,South Korea is a country that has long worked too hard. Its leaders are trying to change that. https://t.co/A6Kg1LWsPY,34,@NYTimes
0,Sat Jul 28 15:32:05 +0000 2018,1,0,0,"The race between Stacey Abrams and Brian Kemp will, regardless of outcome, determine what Georgia represents and hoâ€_ https://t.co/C02zlgcbmk",35,@NYTimes
0,Sat Jul 28 15:22:04 +0000 2018,1,0,0,The 12 new songs you need to hear this week https://t.co/tIfXbNQpeF,36,@NYTimes
-0.1531,Sat Jul 28 15:12:06 +0000 2018,0.926,0.074,0,"â€œThe official told me, â€˜Sign here, and you will be deported together.â€™ They tricked me."" Now, he said, â€œWhenever weâ€_ https://t.co/UZ6MIHhqGP",37,@NYTimes
-0.9062,Sat Jul 28 15:02:02 +0000 2018,0.594,0.406,0,"When police in India arrested 17 men accused of assaulting the girl, there was a wave of public fury. Then the narrâ€_ https://t.co/3Enws3k5kW",38,@NYTimes
0,Sat Jul 28 14:52:04 +0000 2018,1,0,0,Robert Mueller and Donald Trump Jr. haven't met for an interview yet. But they crossed paths at the airport. https://t.co/mOIqW8BXJs,39,@NYTimes
0,Sat Jul 28 14:42:01 +0000 2018,1,0,0,"RT @nytopinion: The day my parents took their oath of citizenship, one of my sixth-grade classmates showed up on our doorstep with her granâ€_",40,@NYTimes
0.4215,Sat Jul 28 14:32:06 +0000 2018,0.882,0,0.118,"For much of the past decade, the United States has paid little attention to its backyard in Latin America. All theâ€_ https://t.co/4ntnzWGh75",41,@NYTimes
-0.2411,Sat Jul 28 14:22:02 +0000 2018,0.859,0.141,0,Not sure what to do in NYC this weekend? Weâ€™ve got you. https://t.co/ICjptaaIAp,42,@NYTimes
-0.5423,Sat Jul 28 14:17:01 +0000 2018,0.844,0.156,0,"CBS says it will investigate its CEO, Les Moonves, after allegations of sexual harassment made against him by 6 womâ€_ https://t.co/LPTj8JfiL5",43,@NYTimes
-0.5994,Sat Jul 28 14:12:05 +0000 2018,0.822,0.178,0,"After 3 people were shot to death at a Texas nursing home, 2 more bodies were discovered at a nearby residence. Offâ€_ https://t.co/MeKEiS0YmG",44,@NYTimes
0.6258,Sat Jul 28 14:02:02 +0000 2018,0.574,0.115,0.311,"This is a recipe to win the dinner party sweepstakes, and at very low stakes https://t.co/vgrrLsQA9Q",45,@NYTimes
-0.6249,Sat Jul 28 14:00:27 +0000 2018,0.683,0.317,0,British Lawmakers Accuse Facebook of Failing to Aid Inquiry Into â€˜Fake Newsâ€™ https://t.co/CXYlsFbNw1,46,@NYTimes
-0.296,Sat Jul 28 13:52:00 +0000 2018,0.872,0.128,0,British lawmakers have accused Facebook of providing â€œdisingenuous answersâ€ù  to questions related to Russiaâ€™s exploâ€_ https://t.co/zLvZtSrKqC,47,@NYTimes
0.4939,Sat Jul 28 13:42:05 +0000 2018,0.781,0,0.219,It's not your just imagination: Netflix is stockpiling original programming. Here are 9 things worth checking out. https://t.co/eNhFCa0qpX,48,@NYTimes
0.34,Sat Jul 28 13:21:19 +0000 2018,0.745,0,0.255,Trump Endorses Candidates in Three More Races https://t.co/dlOCzfUEgz,49,@NYTimes
0.2755,Sat Jul 28 13:21:05 +0000 2018,0.839,0,0.161,"They didn't have children and, most said, they don't have regrets  https://t.co/zTCYZVNrad",50,@NYTimes
-0.802,Sat Jul 28 13:03:01 +0000 2018,0.745,0.255,0,"Her dead calf resting on her nose, an orca whale has swum in mourning for more than 3 days in the Pacific Northwestâ€_ https://t.co/2z22o3FeYr",51,@NYTimes
-0.5267,Sat Jul 28 12:42:03 +0000 2018,0.861,0.139,0,"In Opinion Kim Brooks writes, ""We now live in a country where it is seen as abnormal, or even criminal, to allowâ€_ https://t.co/gTrNypIBUJ",52,@NYTimes
0.5719,Sat Jul 28 12:22:06 +0000 2018,0.709,0,0.291,Here are 5 delicious recipes for a school (or work) night https://t.co/9Zer4nWxrH,53,@NYTimes
0.4019,Sat Jul 28 12:02:05 +0000 2018,0.881,0,0.119,Millions of smart TVs in American homes are tracking everything you watch for the sake of advertisers. If that doesâ€_ https://t.co/ja3rwBn3ZV,54,@NYTimes
-0.3182,Sat Jul 28 11:41:03 +0000 2018,0.827,0.173,0,"When we eat, or donâ€™t eat, may be critical for healthhttps://t.co/LcKEhCeXDS",55,@NYTimes
-0.0258,Sat Jul 28 11:32:40 +0000 2018,0.777,0.114,0.109,"Breaking: Pope Francis accepted the resignation of Cardinal Theodore McCarrick, a former U.S. archbishop who is atâ€_ https://t.co/cnKlZLEZzH",56,@NYTimes
-0.7906,Sat Jul 28 11:31:49 +0000 2018,0.437,0.451,0.112,Pope Accepts Resignation of U.S. Cardinal at Center of Sexual Abuse Scandal https://t.co/h0wzR42wdn,57,@NYTimes
-0.8294,Sat Jul 28 11:21:06 +0000 2018,0.721,0.279,0,It's called dark money for a reason: It's hard to trace. But millions of it were spent to kill the Affordable Careâ€_ https://t.co/yCj97BwuTZ,58,@NYTimes
0.4588,Sat Jul 28 11:02:02 +0000 2018,0.864,0,0.136,Whether Democrats can continue to excel among the most affluent voters is one of the biggest questions heading intoâ€_ https://t.co/xXEq5FlMl8,59,@NYTimes
0.4767,Sat Jul 28 10:32:05 +0000 2018,0.86,0,0.14,RT @nytpolitics: Intelligence officials said they have seen little activity by Russian military hackers aimed at either major American poliâ€_,60,@NYTimes
0.836,Sat Jul 28 10:21:43 +0000 2018,0.574,0,0.426,"Criticâ€™s Notebook: Which Show Is Good, Clean Fun: â€˜Rocky Horrorâ€™ or â€˜The Music Manâ€™? https://t.co/bGVyKG9Nqq",61,@NYTimes
-0.25,Sat Jul 28 10:19:12 +0000 2018,0.833,0.167,0,"â€˜What Does a Trucker Look Like?â€™ Itâ€™s Changing, Amid a Big Shortage https://t.co/bZHMi2D6VG",62,@NYTimes
0,Sat Jul 28 10:03:02 +0000 2018,1,0,0,The EU has decided that gene-edited crops have to be as tightly regulated as GMO foods. We explain the difference. https://t.co/bOiVz53Pqa,63,@NYTimes
-0.4404,Sat Jul 28 10:01:57 +0000 2018,0.805,0.195,0,Act of Defiance Casts Harsh Light on Europeâ€™s Deportations of Asylum Seekers https://t.co/TeaqgRJNXt,64,@NYTimes
-0.7783,Sat Jul 28 09:39:13 +0000 2018,0.669,0.28,0.051,"If you want a dashboard for evidence of economic damage from the trade war, hereâ€™s what should be on it https://t.co/yKFBnkZ2C5",65,@NYTimes
0.3612,Sat Jul 28 09:20:16 +0000 2018,0.8,0,0.2,You should never skip the opening credits. @poniewozik explains why.  https://t.co/8EQcKoG2oV,66,@NYTimes
0.5106,Sat Jul 28 09:02:03 +0000 2018,0.752,0,0.248,Roast a chicken and you know you have a comfortable meal https://t.co/Z0hCdRubib https://t.co/oRXWzpZIq9,67,@NYTimes
0.3804,Sat Jul 28 08:50:07 +0000 2018,0.776,0,0.224,Phys Ed: Exercise Makes the Aging Heart More Youthful https://t.co/q2UnB04RwK,68,@NYTimes
0,Sat Jul 28 08:46:00 +0000 2018,1,0,0,"She was Salvador DalÃ_'s wife, muse, model and publicist. But as a new exhibition in Barcelona shows, there was so mâ€_ https://t.co/MNEGzPChMO",69,@NYTimes
0,Sat Jul 28 08:27:36 +0000 2018,1,0,0,How did Dr. Seuss come up with the Lorax? https://t.co/BEX2JAnf0b,70,@NYTimes
-0.1779,Sat Jul 28 08:08:46 +0000 2018,0.807,0.112,0.081,"A soccer ball hit his head. He thought he was fine. Then thinking, talking, reading and writing became difficult. Dâ€_ https://t.co/J1pWcta3F3",71,@NYTimes
-0.296,Sat Jul 28 07:50:09 +0000 2018,0.905,0.095,0,New Zealand accused Australia this week of copying its national flag. Take the quiz and see if you can identify theâ€_ https://t.co/Kve5So31ix,72,@NYTimes
-0.2382,Sat Jul 28 07:32:03 +0000 2018,0.907,0.093,0,"RT @nytimesworld: France has a painful history of anti-Semitism. But in recent months, an impassioned and complicated debate has burst intoâ€_",73,@NYTimes
0,Sat Jul 28 07:05:23 +0000 2018,1,0,0,The $3 billion plan to turn Hoover Dam into a giant battery https://t.co/1xTlBJY2eA,74,@NYTimes
-0.6249,Sat Jul 28 06:46:49 +0000 2018,0.573,0.344,0.083,Woman Gets Five-Year Prison Sentence on Charges of Abducting Her Children https://t.co/xxFeQ2VrA2,75,@NYTimes
0.3818,Sat Jul 28 06:44:09 +0000 2018,0.833,0,0.167,"""The approaches by Truman and Trump are representative of a larger truth: If you want to know what a president beliâ€_ https://t.co/PoEWV0mqiI",76,@NYTimes
-0.5994,Sat Jul 28 06:26:13 +0000 2018,0.618,0.28,0.102,"Over four years, thousands of victims in the United States lost ""hundreds of millions"" of dollars to a fake IRS phoâ€_ https://t.co/9OzFzblhUx",77,@NYTimes
0.8617,Sat Jul 28 06:08:10 +0000 2018,0.483,0,0.517,How one great song can totally transform a love scene https://t.co/c5kQ6I6Qrj,78,@NYTimes
