Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
-0.4895,Sat Jul 28 05:50:28 +0000 2018,0.742,0.258,0,Paleontologists once thought these dinosaurs did not reach East Asia. They were wrong. https://t.co/FlwWeCE0Pa,79,@NYTimes
-0.5994,Sat Jul 28 05:32:03 +0000 2018,0.843,0.157,0,"RT @nytopinion: Around 400 World War II veterans are dying a day, meaning that sometime within this generation, all will be deceased. Whenâ€_",80,@NYTimes
0.128,Sat Jul 28 05:02:24 +0000 2018,0.786,0.096,0.118,Trump has long wielded Twitter as a weapon. Now the special counsel is investigating his tweets as part of a broadâ€_ https://t.co/1gO09Tc5Pu,81,@NYTimes
0,Sat Jul 28 04:44:39 +0000 2018,1,0,0,"For many women, particularly those involved in cycling, the ""podium girls"" routine at the Tour de France seems outâ€_ https://t.co/jggVkNdkLQ",82,@NYTimes
-0.8689,Sat Jul 28 04:26:40 +0000 2018,0.532,0.468,0,Five Are Dead in Killings Tied to Texas Nursing Home Shooting https://t.co/DRGiVB1PZL,83,@NYTimes
0.6369,Sat Jul 28 04:21:05 +0000 2018,0.819,0,0.181,"RT @nytimesvows: Joseph Schneier and Allie Brashears, a transgender couple from New York, found love after posting profiles on @okcupid, thâ€_",84,@NYTimes
-0.2411,Sat Jul 28 03:58:06 +0000 2018,0.859,0.141,0,Not sure what to do in NYC this weekend? Weâ€™ve got you. https://t.co/EGig8KW6yh,85,@NYTimes
0,Sat Jul 28 03:40:23 +0000 2018,1,0,0,The Fix: Landscaping for the Not-So-Green Thumb https://t.co/IjBRx1VYcZ,86,@NYTimes
-0.7269,Sat Jul 28 03:32:04 +0000 2018,0.766,0.234,0,"In the midst of an affordable housing crisis, Ben Carson has privately told aides that he views the shortage as regâ€_ https://t.co/v6LdsrKgPx",87,@NYTimes
0.1027,Sat Jul 28 03:17:01 +0000 2018,0.802,0.092,0.107,"RT @nytopinion: The world is catching fire before our eyes, the predictions of climate scientists are coming true, and we are either fumbliâ€_",88,@NYTimes
-0.8294,Sat Jul 28 02:47:10 +0000 2018,0.721,0.279,0,It's called dark money for a reason: It's hard to trace. But millions of it were spent to kill the Affordable Careâ€_ https://t.co/P5Euv9VjnM,89,@NYTimes
0,Sat Jul 28 02:47:03 +0000 2018,1,0,0,The Trump administration will soon unveil its plan to undo the Obama-era climate change rule on auto pollution. Butâ€_ https://t.co/YRSJe098xT,90,@NYTimes
0.5267,Sat Jul 28 02:32:36 +0000 2018,0.841,0,0.159,"5 Democratic lawmakers called on the Justice Department to investigate the ""Stand Your Ground"" case of a man who waâ€_ https://t.co/p9rFcNfc2R",91,@NYTimes
0,Sat Jul 28 02:17:00 +0000 2018,1,0,0,"RT @tripgabriel: â€˜Russia has infiltrated the control rooms of power plants across the US,â€™ writes âÅ_@SangerNYTâÅ©  https://t.co/JEXiXjROuF",92,@NYTimes
0,Sat Jul 28 02:03:54 +0000 2018,1,0,0,Scott Pruitt's former deputy is now in charge at the EPA. He's taking a more disciplined approach to dismantling enâ€_ https://t.co/8bvFxhdbgQ,93,@NYTimes
-0.5574,Sat Jul 28 01:47:01 +0000 2018,0.787,0.213,0,Mike Cagney lost his job last year as chief executive of Social Finance after accusations of inappropriate workplacâ€_ https://t.co/0etZV4hmUw,94,@NYTimes
0.7717,Sat Jul 28 01:33:04 +0000 2018,0.656,0.062,0.282,"From our friends at @Watching: ""Life Itself"" and ""What Happened Miss Simone?"" are some of the best biographical docâ€_ https://t.co/mEPaWVAqbo",95,@NYTimes
-0.6597,Sat Jul 28 01:17:01 +0000 2018,0.759,0.241,0,"RT @nytdavidbrooks: These days, I spend my mornings writing depressing columns about a political culture marred by distrust and my afternooâ€_",96,@NYTimes
0,Sat Jul 28 01:03:27 +0000 2018,1,0,0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/jNVtVoMajk,97,@NYTimes
0.5719,Sat Jul 28 00:47:01 +0000 2018,0.861,0,0.139,"""In his hands he clutched, as if they were precious, two items that had been given to him and other migrants on theâ€_ https://t.co/IiQLMLrA59",98,@NYTimes
0,Sat Jul 28 00:33:32 +0000 2018,1,0,0,"1,387 nursing homes received just 1 out 5 stars for staffing levels in Medicare's new rankings https://t.co/XVvZF52bIy",99,@NYTimes
-0.8658,Fri Jul 27 05:53:04 +0000 2018,0.553,0.447,0,Five dead and five injured after car and minibus crash on A96 in Moray https://t.co/1jBgjqgX7P,0,@BBCBreaking
-0.8555,Fri Jul 27 01:59:48 +0000 2018,0.656,0.344,0,"North Korea has returned the remains of US troops killed during the Korean War, White House confirms https://t.co/rpsPNChksr",1,@BBCBreaking
0,Thu Jul 26 23:04:29 +0000 2018,1,0,0,"More than 1,800 migrant children in US reunited with family members by a court-ordered deadline, government says https://t.co/pzjlsaBOrN",2,@BBCBreaking
-0.3182,Thu Jul 26 12:17:23 +0000 2018,0.874,0.126,0,Former cricketer Imran Khan claims victory in Pakistan's election amid accusations of vote rigging by rivals https://t.co/r8z5wnYu7z,3,@BBCBreaking
0.2263,Thu Jul 26 09:56:02 +0000 2018,0.783,0.065,0.152,"BBC agrees to pay Sir Cliff Richard Â£850,000 within 14 days to cover his legal costs after privacy ruling https://t.co/lP9aHPHNZO",4,@BBCBreaking
0,Thu Jul 26 06:41:03 +0000 2018,1,0,0,"Explosion reported close to the US embassy in Beijing, according to multiple eyewitness reports on social media https://t.co/f2RzOOnzre",5,@BBCBreaking
0,Wed Jul 25 23:49:08 +0000 2018,1,0,0,Conservatives in US Congress start impeachment process in effort to oust Deputy Attorney General Rod Rosenstein https://t.co/hbPIHoRp08,6,@BBCBreaking
0,Wed Jul 25 14:22:52 +0000 2018,1,0,0,"Scientists believe they've found liquid water on Mars for the first time, a potential game-changer in the search foâ€_ https://t.co/W8UcZKBCjA",7,@BBCBreaking
-0.4767,Wed Jul 25 10:21:24 +0000 2018,0.717,0.207,0.076,Can you own a shape? Kit Kat loses its 16-year battle to trademark a four-fingered wafer bar at top EU court https://t.co/CI8XIU4wxz,8,@BBCBreaking
-0.9531,Wed Jul 25 06:06:04 +0000 2018,0.497,0.503,0,Suicide attacks in southern Syria kill at least 38 people - Islamic State group says it was behind the violence https://t.co/iWxeypEWIL,9,@BBCBreaking
-0.5859,Tue Jul 24 14:53:07 +0000 2018,0.654,0.246,0.1,DUP MP Ian Paisley suspended from Commons after he failed to declare holidays paid for by Sri Lankan government https://t.co/b3aKthkEfy,10,@BBCBreaking
-0.7845,Tue Jul 24 14:46:27 +0000 2018,0.685,0.315,0,"At least 74 people killed in wildfires close to Athens, Greek fire brigade official sayshttps://t.co/hXxldenh2P https://t.co/pv1gvtIsfl",11,@BBCBreaking
0,Tue Jul 24 11:41:03 +0000 2018,1,0,0,"Israel shoots down Syrian warplane flying over its airspace in southern Golan, Israeli army says https://t.co/1q1iAVx4Wt",12,@BBCBreaking
-0.6369,Tue Jul 24 11:31:53 +0000 2018,0.743,0.257,0,Greek PM Alexis Tsipras declares three-day period of mourning for victims of deadly wildfires in Greeceâ€_ https://t.co/u28o5XTA4s,13,@BBCBreaking
-0.6705,Tue Jul 24 10:54:27 +0000 2018,0.791,0.209,0,"At least 60 people killed in Greece wildfires in the Attica region around Athens, local official saysâ€_ https://t.co/nsLJ8RKq84",14,@BBCBreaking
-0.4926,Tue Jul 24 10:28:15 +0000 2018,0.819,0.181,0,"RT @BBCSport: Race stopped!The 16th stage of the #TDF2018 has been put on pause due to a protest.Live: https://t.co/6AsDSFzMjQ https://â€_",15,@BBCBreaking
-0.8126,Tue Jul 24 08:08:46 +0000 2018,0.565,0.378,0.057,"Hundreds missing and an unknown number dead after dam collapses in Laos, state news agency reports https://t.co/ET8e1BBRUI",16,@BBCBreaking
-0.8709,Tue Jul 24 06:55:17 +0000 2018,0.513,0.395,0.092,"Greece wildfires:- at least 50 killed- more than 100 injured- Greece issues appeal for help- worst recorded wiâ€_ https://t.co/cQYljPSLMd",17,@BBCBreaking
-0.8555,Tue Jul 24 06:16:46 +0000 2018,0.625,0.375,0,At least 50 people now reported dead in Greece's worst wildfires in more than a decade https://t.co/0NvP8xdqDA,18,@BBCBreaking
-0.7964,Mon Jul 23 05:44:30 +0000 2018,0.633,0.367,0,Three men arrested in London over suspected acid attack on three-year-old boy in Worcester on Saturday https://t.co/1lyDT0owWH,19,@BBCBreaking
-0.8126,Sun Jul 22 10:24:38 +0000 2018,0.539,0.461,0,"Three-year-old boy seriously injured in suspected ""deliberate"" acid attack in Worcester, England, police say https://t.co/UIMDWhVvOw",20,@BBCBreaking
-0.5574,Fri Jul 20 21:11:50 +0000 2018,0.859,0.141,0,"Nine of the 17 people who died when a tour boat sank in a Missouri lake were from the same family, the governor ofâ€_ https://t.co/eiWoSusxIl",21,@BBCBreaking
-0.6908,Fri Jul 20 16:36:21 +0000 2018,0.737,0.263,0,"Novichok victim Charlie Rowley released from UK hospital, days after partner died following exposure to nerve agent https://t.co/0yVOwGyNys",22,@BBCBreaking
-0.0258,Fri Jul 20 14:57:32 +0000 2018,0.936,0.064,0,"Two 15-year-old boys, who planned a Columbine-style shooting at a North Yorkshire school, sentenced to 12 years andâ€_ https://t.co/LfwZZpoi9q",23,@BBCBreaking
-0.4767,Fri Jul 20 13:34:59 +0000 2018,0.838,0.162,0,"Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h",24,@BBCBreaking
0,Fri Jul 20 10:09:12 +0000 2018,1,0,0,"Major medical records hack uncovered in Singapore, affecting 1.5m people (a third of the population) - government https://t.co/nu4OV6GXcq",25,@BBCBreaking
0.6124,Thu Jul 19 16:24:26 +0000 2018,0.821,0,0.179,"The baby girl who was in the back of an Audi that was carjacked in Birmingham has been found safe and well, and wilâ€_ https://t.co/gmtENbXzvE",26,@BBCBreaking
0,Thu Jul 19 16:05:13 +0000 2018,1,0,0,"Four-week-old baby girl in the back of an Audi carjacked in Birmingham, say police https://t.co/LFWNZhFOnN",27,@BBCBreaking
-0.6705,Thu Jul 19 08:49:00 +0000 2018,0.744,0.256,0,Police 'identify Russian suspects' in Novichok attack on ex-spy Sergei Skripal and his daughter Yulia in Salisbury https://t.co/JZcvjKt9Bm,28,@BBCBreaking
0,Wed Jul 18 11:23:03 +0000 2018,1,0,0,"EU fines Google record 4.34bn euros ($5bn) for using Android operating system to illegally ""cement dominant positioâ€_ https://t.co/XnQIu99Eml",29,@BBCBreaking
0.2732,Wed Jul 18 11:00:10 +0000 2018,0.877,0,0.123,RT @BBCSport: Liverpool have agreed a world record fee with Roma for goalkeeper Alisson https://t.co/DaEYQGPqKj #LFC https://t.co/T85ZC9aRFU,30,@BBCBreaking
0,Wed Jul 18 09:46:34 +0000 2018,1,0,0,"BBC's Director of News, Fran Unsworth, says it is 'looking at' appealing the judgment after Sir Cliff Richard winsâ€_ https://t.co/bjggtxbcRB",31,@BBCBreaking
0.6124,Wed Jul 18 09:03:11 +0000 2018,0.625,0.114,0.261,"""I'm choked up. I can't believe it. It's wonderful news."" Sir Cliff Richard says after winning High Court privacy câ€_ https://t.co/m4QUWRwDM0",32,@BBCBreaking
0.4939,Wed Jul 18 08:56:46 +0000 2018,0.654,0.112,0.235,"Sir Cliff Richard awarded Â£210,000 in damages after winning High Court privacy case against BBC. Judge says star isâ€_ https://t.co/2Jr4zfF9Dm",33,@BBCBreaking
0.5719,Wed Jul 18 08:50:31 +0000 2018,0.856,0,0.144,Sir Cliff Richard has won his High Court privacy case against the BBC over its coverage of a police raid on his home https://t.co/jXb9g43ADM,34,@BBCBreaking
0.3182,Wed Jul 18 07:06:29 +0000 2018,0.669,0.117,0.213,"Elon Musk apologises to British cave rescue diver in Thailand he called ""pedo guy"" for ridiculing his mini-submarine https://t.co/fjJkSwsmFg",35,@BBCBreaking
0.6597,Tue Jul 17 19:12:50 +0000 2018,0.748,0,0.252,President Donald Trump says he accepts US intelligence agencies' conclusion that Russia interfered in the 2016 elecâ€_ https://t.co/1Q1gfcJXc2,36,@BBCBreaking
0.1779,Tue Jul 17 17:50:20 +0000 2018,0.705,0.132,0.163,"UK government narrowly wins key Brexit vote, rejecting call to stay in a customs union in ""no-deal"" scenario https://t.co/HYquaTYKv6",37,@BBCBreaking
-0.4404,Tue Jul 17 08:33:15 +0000 2018,0.847,0.153,0,"Unemployment fell by 12,000 in the three months to May to 1.41 million, official figures show https://t.co/txyZzQ4SZD",38,@BBCBreaking
-0.0516,Tue Jul 17 06:17:56 +0000 2018,0.926,0.074,0,Brexit campaign group Vote Leave is fined and referred to police for breaking electoral law https://t.co/1jWE9x7lKd,39,@BBCBreaking
-0.3182,Mon Jul 16 21:08:29 +0000 2018,0.679,0.213,0.109,UK government avoids defeat - by just three votes - on its Customs Bill after agreeing to Brexiteers' amendment https://t.co/BttpCnYbBC,40,@BBCBreaking
0,Mon Jul 16 14:19:40 +0000 2018,1,0,0,"Victorious French World Cup team to receive their country's highest accolade, the LÃ©gion d'Honneur https://t.co/dbzCE4xgxd",41,@BBCBreaking
0.6249,Mon Jul 16 11:20:02 +0000 2018,0.823,0,0.177,"""It's great to be with you""US President Donald Trump shakes hands with Russian President Vladimir Putin ahead ofâ€_ https://t.co/k1OMUo03Zy",42,@BBCBreaking
0,Mon Jul 16 11:15:14 +0000 2018,1,0,0,"Donald Trump says he expects to have ""extraordinary relationship"" with Vladimir Putin as they begin first summit https://t.co/vcJdgUan5q",43,@BBCBreaking
0.8188,Sun Jul 15 16:54:13 +0000 2018,0.736,0,0.264,"RT @BBCSport: FRANCE ARE THE WORLD CHAMPIONS!Itâ€™s ended #FRA 4-2 #CRO to give the French their second #WorldCup triumph.Allez les bleusâ€_",44,@BBCBreaking
0.7177,Sun Jul 15 15:33:53 +0000 2018,0.786,0,0.214,"RT @5liveSport: Novak Djokovic has done it! _Ÿ‘‘He beats Kevin Anderson in straight sets to win his fourth #Wimbledon title _Ÿ‘è_Ÿ‘è_Ÿè†_Ÿè†_Ÿè†_Ÿè†Reactiâ€_",45,@BBCBreaking
0,Sun Jul 15 09:03:52 +0000 2018,1,0,0,"UK Prime Minister Theresa May says Donald Trump told her to ""sue the EU"" https://t.co/ua2BkVnhgF https://t.co/sjan2qwTCi",46,@BBCBreaking
0.6688,Sat Jul 14 16:23:05 +0000 2018,0.848,0,0.152,"RT @BBCSport: Angelique Kerber is the #wimbledon champion! _Ÿ‘èThe German beats Serena Williams to lift the trophy for the first time! _Ÿ™Œ Lâ€_",47,@BBCBreaking
-0.0516,Sat Jul 14 15:52:16 +0000 2018,0.946,0.054,0,"RT @BBCSport: FT Belgium 2-0 EnglandEngland leave Russia with their heads held high and their joint-best #worldcup finish since '66.Belâ€_",48,@BBCBreaking
-0.5067,Sat Jul 14 14:34:06 +0000 2018,0.884,0.116,0,"RT @BBCSport: He's done it! _Ÿ™Œ WHAT A MATCH! _Ÿ”¥ Novak Djokovic is through to his fifth #Wimbledon final! Nadal 4-6 6-3 6-7 (9-11) 6-3 8â€_",49,@BBCBreaking
-0.4753,Fri Jul 13 18:47:11 +0000 2018,0.897,0.103,0,"RT @BBCSport: IT'S OVER!Game, set, match: Kevin Anderson âœ…After six hours 35 minutes, he's beaten John Isner 7-6 6-7 6-7 6-4 26-24._Ÿ“ºâ€_",50,@BBCBreaking
-0.7906,Fri Jul 13 16:46:13 +0000 2018,0.708,0.292,0,Former PM Nawaz Sharif arrested on return to Pakistan as elsewhere scores die in blasts targeting election rallies https://t.co/ZNtKUxtCWn,51,@BBCBreaking
-0.4939,Fri Jul 13 16:15:40 +0000 2018,0.849,0.151,0,"Police say Novichok that poisoned couple in Amesbury, Wiltshire, came from small bottle found in one victim's house https://t.co/OJekuAbuYz",52,@BBCBreaking
0.4767,Fri Jul 13 16:11:16 +0000 2018,0.829,0,0.171,"12 Russian intelligence officers indicted for hacking Democrat emails during 2016 election, US authorities announce https://t.co/GMJNfLiBQO",53,@BBCBreaking
0,Fri Jul 13 16:06:19 +0000 2018,1,0,0,"Queen Elizabeth II meets US President Donald Trump at Windsor Castle https://t.co/3Q606Y04yc #TrumpVisitUK https://t.co/VRXtDD1PP8",54,@BBCBreaking
0.4019,Fri Jul 13 13:34:39 +0000 2018,0.856,0,0.144,"The US/UK relationship is now the ""highest level of special"" - President Trump tells Chequers press conferenceâ€_ https://t.co/Nei7esrAum",55,@BBCBreaking
0.6249,Fri Jul 13 13:28:08 +0000 2018,0.814,0,0.186,"""Boris Johnson I think would be a great prime minister""I also said this ""incredible woman"" Theresa May is doing aâ€_ https://t.co/s6qNLdA5yO",56,@BBCBreaking
-0.4577,Fri Jul 13 13:15:37 +0000 2018,0.642,0.248,0.11,"""I didn't criticise the prime minister"" in Sun interview - President Trump calls accusations ""fake news"" Latestâ€_ https://t.co/H6HCBDhp6Y",57,@BBCBreaking
0.5574,Fri Jul 13 13:09:28 +0000 2018,0.772,0,0.228,"""Whatever you do is ok with us, just make sure we can trade together that's all that matters"" - President Trump onâ€_ https://t.co/KN9sbpEvnM",58,@BBCBreaking
0,Fri Jul 13 09:26:16 +0000 2018,1,0,0,"RT @BBCSport: Chelsea have confirmed the sacking of manager Antonio Conte.#bbcfootball https://t.co/zVCdvvNKka",59,@BBCBreaking
0.5837,Thu Jul 12 15:10:13 +0000 2018,0.845,0,0.155,"RT @BBCSport: Look who's back! _Ÿ˜çSerena Williams returns to familiar territory as she reaches her tenth #Wimbledon final!Reaction _Ÿ“_ httpâ€_",60,@BBCBreaking
0,Thu Jul 12 14:51:23 +0000 2018,1,0,0,"RT @BBCSport: Chelsea are set to announce the departure of manager Antonio Conte after two years in charge.More here: https://t.co/2AvV7Zâ€_",61,@BBCBreaking
-0.4753,Thu Jul 12 13:18:24 +0000 2018,0.901,0.099,0,"RT @BBCSport: She's made it to the final! _Ÿ™ŒAngelique Kerber has beaten Jelena Ostapenko in the first women's semi-final of the day. _Ÿ“_ hâ€_",62,@BBCBreaking
0,Thu Jul 12 13:07:51 +0000 2018,1,0,0,"Donald Trump arrives in UK for two-day working trip; his first time in the country as US president Followâ€_ https://t.co/LYywzQUv3H",63,@BBCBreaking
0.4215,Thu Jul 12 11:31:29 +0000 2018,0.843,0,0.157,Proposed deal for Rupert Murdoch's 21st Century Fox to buy Sky approved by UK government https://t.co/9ccLlahx8A,64,@BBCBreaking
0.2732,Thu Jul 12 10:35:27 +0000 2018,0.861,0,0.139,President Trump says Nato countries have agreed to spend more on military budgets https://t.co/zDQjItZjgv,65,@BBCBreaking
-0.743,Wed Jul 11 20:43:42 +0000 2018,0.76,0.24,0,"Heartbreak for England as the team is knocked out of the World Cup by Croatia, losing 2-1 in the semi-final #ENGCROâ€_ https://t.co/maYzBIKN70",66,@BBCBreaking
0.2732,Wed Jul 11 16:30:49 +0000 2018,0.749,0.105,0.146,"RT @BBCSport: The defending champion is OUT.Roger Federer is beaten in the quarter-finals at Wimbledon by eighth seed Kevin Anderson.Reâ€_",67,@BBCBreaking
0.2023,Wed Jul 11 11:01:22 +0000 2018,0.921,0,0.079,The top 12 earners on the BBC's latest list of star salaries are all men - with Gary Lineker the highest paid https://t.co/sFhc7Fzzvg,68,@BBCBreaking
-0.8555,Wed Jul 11 10:44:48 +0000 2018,0.574,0.426,0,"Novichok poisoning victim Charlie Rowley ""no longer in critical condition"", says director of nursing at Salisbury Hâ€_ https://t.co/euDmWNA8JN",69,@BBCBreaking
-0.7783,Wed Jul 11 08:11:56 +0000 2018,0.688,0.312,0,Member of German neo-Nazi gang has been found guilty of 10 racially-motivated murders after five-year trial https://t.co/AD8caMZBYn,70,@BBCBreaking
0.2382,Wed Jul 11 05:03:41 +0000 2018,0.919,0,0.081,"""There was only a tiny bit of hope, but that's all we had to work with.""Thai Navy Seal chief talks about successfâ€_ https://t.co/ARk0ZPEWYn",71,@BBCBreaking
0,Tue Jul 10 20:04:12 +0000 2018,1,0,0,"RT @BBCSport: FT: #FRA 1-0 #BEL France are into their third #WorldCup final! Samuel Umtiti's 51st minute header gives Les Bleus victoryâ€_",72,@BBCBreaking
-0.4497,Tue Jul 10 16:22:12 +0000 2018,0.811,0.189,0,"Amesbury Novichok poisoning victim Charlie Rowley is now conscious but ""not out of the woods yet"", say doctors https://t.co/8DpOy3EmKk",73,@BBCBreaking
0.4019,Tue Jul 10 15:51:04 +0000 2018,0.856,0,0.144,Conservative party vice chairs Maria Caulfield and Ben Bradley quit over Theresa May's Chequers Brexit plan https://t.co/eu5WbZqyvi,74,@BBCBreaking
0.8313,Tue Jul 10 15:32:56 +0000 2018,0.714,0,0.286,"RT @BBCSport: Wow! _Ÿ˜_Cristiano Ronaldo is set to be confirmed as a Juventus player, with a deal agreed between the Serie A club and Real Mâ€_",75,@BBCBreaking
0.7574,Tue Jul 10 14:47:39 +0000 2018,0.735,0,0.265,"@DanJohnsonNews Mission accomplished!The last members of the rescue team who were inside the cave have made it ouâ€_ https://t.co/07BGJKbrAs",76,@BBCBreaking
0.6344,Tue Jul 10 12:47:28 +0000 2018,0.73,0,0.27,"""It really is a fantastic achievement of human endeavour"" - @DanJohnsonNews on the extraordinary challenges faced bâ€_ https://t.co/QvEyYpepnm",77,@BBCBreaking
0.6114,Tue Jul 10 12:25:05 +0000 2018,0.834,0,0.166,"What a sight!Dozens of aircraft fly over Buckingham Palace as the Royal Air Force celebrates 100 years of its proâ€_ https://t.co/nAE0vnKNkp",78,@BBCBreaking
0.4215,Tue Jul 10 11:54:41 +0000 2018,0.859,0,0.141,#ThaiCaveRescue: All 12 boys and their football coach rescued from flooded cave system in Chiang Rai _Ÿê—_Ÿ‡__Ÿ‡_â€_ https://t.co/sGgZ9M5i42,79,@BBCBreaking
0.5106,Tue Jul 10 10:30:29 +0000 2018,0.852,0,0.148,"Reports from the scene say 11th person has been carried out of cave in Thailand, as rescue operation continuesâ€_ https://t.co/DQT7iRlkkX",80,@BBCBreaking
0.8689,Tue Jul 10 09:45:01 +0000 2018,0.66,0,0.34,"Thai cave rescue: At least one more boy brought out of cave safely in latest phase of rescue operation - reportsLâ€_ https://t.co/OaF9Y8otmE",81,@BBCBreaking
0.7184,Tue Jul 10 05:08:14 +0000 2018,0.684,0,0.316,"#ThailandCaveRescue: Remaining  four boys and coach may be freed today, rescue chief says https://t.co/ZND3yhW6keâ€_ https://t.co/RbbPnDiatP",82,@BBCBreaking
0.4939,Tue Jul 10 02:23:26 +0000 2018,0.856,0,0.144,Day 3 of the #ThailandCaveRescue and divers are gearing up to save the remaining five - Follow our live reporting pâ€_ https://t.co/eckWXBmsjT,83,@BBCBreaking
0.128,Tue Jul 10 01:06:25 +0000 2018,0.628,0.198,0.174,"President Trump picks conservative Brett Kavanaugh for US Supreme Court, setting up a tough confirmation battle https://t.co/tn5pf9I6oW",84,@BBCBreaking
0,Mon Jul 09 20:13:13 +0000 2018,1,0,0,"Matt Hancock appointed new health secretary to replace Jeremy Hunt https://t.co/OjtreyhwDR",85,@BBCBreaking
0,Mon Jul 09 19:58:16 +0000 2018,1,0,0,"Jeremy Hunt named as new UK foreign secretary after Boris Johnson quits over Brexit, Downing Street says https://t.co/0IZozKootn",86,@BBCBreaking
-0.296,Mon Jul 09 17:21:53 +0000 2018,0.804,0.196,0,"Resignation statement in full from @BorisJohnsonLive reaction: https://t.co/w4wKJ0BcTD https://t.co/9UCCX8X7hv",87,@BBCBreaking
-0.0516,Mon Jul 09 17:10:12 +0000 2018,0.781,0.115,0.104,"Former UK foreign secretary says in resignation letter Brexit dream is dying - ""suffocated by needless self-doubt"" https://t.co/zPtdTpJ1xW",88,@BBCBreaking
0,Mon Jul 09 15:37:45 +0000 2018,1,0,0,"Prince Louis arrives for his christening service at the Chapel Royal, St James's Palacehttps://t.co/TGe9Ld5mpM https://t.co/rmN5muoneJ",89,@BBCBreaking
-0.5423,Mon Jul 09 14:03:11 +0000 2018,0.757,0.243,0,"Boris Johnson resigns as UK Foreign Secretary, following the resignation of Brexit Secretary David Davis https://t.co/gFKnbH5oez",90,@BBCBreaking
0.7184,Mon Jul 09 12:58:32 +0000 2018,0.76,0,0.24,"#ThaiCaveRescue: Four more boys have been safely taken out of the caves, bringing the total rescued to eight, the Bâ€_ https://t.co/iAoDEWyY14",91,@BBCBreaking
0.1779,Mon Jul 09 10:13:29 +0000 2018,0.928,0,0.072,"There's got to be a time we ""get a bit tougher"" with the EU and ""this should have been the time"" - David Davis tellâ€_ https://t.co/KfYSPmeseP",92,@BBCBreaking
-0.3182,Mon Jul 09 09:28:47 +0000 2018,0.839,0.161,0,Dominic Raab appointed Brexit Secretary after David Davis resigns from UK government https://t.co/rrWuBon3KV,93,@BBCBreaking
0.4215,Mon Jul 09 08:05:02 +0000 2018,0.859,0,0.141,"#ThaiCaveRescue: Four boys rescued last night now in quarantine in Chiang Rai hospital, local officials say Liveâ€_ https://t.co/RkkbsCm2S0",94,@BBCBreaking
0.5106,Mon Jul 09 07:53:17 +0000 2018,0.845,0,0.155,Follow the latest developments on day two of the #ThaiCaveRescue as effort to rescue nine remaining people resumesâ€_ https://t.co/xhGbOrNFQv,95,@BBCBreaking
-0.0516,Mon Jul 09 06:55:41 +0000 2018,0.946,0.054,0,"It looks ""less and less likely"" that the UK will leave the customs union and single market - read David Davis's resâ€_ https://t.co/tRxO2gh0Tz",96,@BBCBreaking
-0.3182,Mon Jul 09 06:34:11 +0000 2018,0.867,0.133,0,Follow the latest reaction &amp; developments as Brexit Secretary David Davis resigns from UK governmentâ€_ https://t.co/zoFnxH1eeS,97,@BBCBreaking
-0.3182,Sun Jul 08 22:52:50 +0000 2018,0.796,0.204,0,Brexit Secretary David Davis resigns from the UK government https://t.co/NKvP8CSd0M,98,@BBCBreaking
-0.6908,Sun Jul 08 20:50:12 +0000 2018,0.773,0.227,0,"UK police launch murder inquiry after Dawn Sturgess, 44, dies after exposure to nerve agent Novichok https://t.co/adk3o7Sj8z",99,@BBCBreaking